Concept	correlation	BNC_freq	num_feats_tax	familiarity	tot_num_feats
napkin	0.257581585258	317	14	8.25	130
umbrella	0.258233115443	987	11	7.35	102
stone	0.261050318144	11527	11	7.40	103
whistle	0.261784616446	930	14	6.40	145
escalator	0.262618719731	141	11	7.35	119
book	0.264526413615	37980	16	8.80	148
dandelion	0.2650237183	189	13	6.40	147
birch	0.269728418177	469	10	5.50	102
rocker	0.269848379587	257	6	5.30	64
basket	0.271536823026	1830	9	6.90	96
radio	0.271572338599	9241	17	8.70	175
cabin	0.272958484085	1289	10	5.10	105
doorknob	0.274749891481	40	9	8.85	97
whip	0.277442172173	1143	14	3.75	122
fence	0.280336780525	2289	11	8.15	76
ambulance	0.28155917137	1846	19	6.45	189
lamp	0.281687007738	2150	14	8.55	144
sleigh	0.281688449006	45	9	5.35	101
sack	0.283208138557	1468	8	5.70	70
cathedral	0.283606647541	2723	13	4.70	118
pin	0.285204447491	1844	10	6.85	118
bungalow	0.288123905892	754	9	4.30	102
cup	0.288554100592	13575	21	8.20	199
chain	0.289819379629	5015	11	7.05	100
chandelier	0.290852900487	217	15	6.50	149
comb	0.294148463302	544	12	7.90	122
carpet	0.297576525061	3396	17	8.75	143
paintbrush	0.298430227787	73	6	6.85	73
typewriter	0.30062794789	595	16	5.30	163
medal	0.302405226286	1643	14	5.90	127
python	0.302767772119	169	15	2.20	143
shed	0.303524700358	2559	12	7.05	135
urn	0.308537786057	226	7	2.60	65
submarine	0.311738628703	767	13	3.05	102
turkey	0.311938457122	2236	18	5.50	169
bureau	0.313048714195	1498	12	5.50	142
anchor	0.313804124338	700	14	3.85	136
thimble	0.316047926418	41	11	3.85	136
bag	0.316274851629	7536	12	8.55	113
bridge	0.316995867076	7562	14	7.10	149
flea	0.31712377407	331	17	4.35	167
pier	0.317256232461	1129	11	5.25	89
skis	0.318973771825	1115	13	5.00	106
sled	0.319914621534	34	12	6.35	126
pot	0.321643337415	3116	10	7.45	119
table	0.329022570937	23156	11	8.95	130
saucer	0.329080899801	499	15	6.05	131
helicopter	0.329158915257	1556	10	4.05	84
ashtray	0.329461400922	324	11	5.60	108
door	0.329635743246	30174	13	8.95	152
stereo	0.33099332672	608	15	8.95	142
unicycle	0.331538491224	14	9	2.75	113
freezer	0.332220302349	527	19	8.35	209
raft	0.335306550317	404	14	4.70	128
barn	0.337349303837	1600	17	5.60	218
dresser	0.342061046904	335	11	8.35	206
jar	0.343694170608	1058	12	6.95	145
dish	0.344383516467	3043	10	8.80	92
spoon	0.344958134387	1013	19	8.65	194
racquet	0.345032929312	77	13	5.75	146
mirror	0.34519834164	4539	11	8.40	106
willow	0.34583372686	524	10	3.50	86
butterfly	0.345936454813	1151	15	6.15	165
desk	0.346315107946	4873	16	8.65	174
wall	0.348048496158	18207	14	8.90	103
bracelet	0.352193709874	305	14	8.20	153
gate	0.352850366615	5823	14	7.10	145
earmuffs	0.353947128742	4	13	5.25	122
belt	0.358701445282	2695	13	7.95	161
airplane	0.360102306784	108	13	6.55	140
necklace	0.360188220094	404	17	8.00	165
skyscraper	0.362490009866	129	12	6.45	139
cushion	0.370258637682	1004	16	7.90	156
subway	0.371719336735	167	14	5.90	140
colander	0.372687891186	54	6	2.35	64
jeep	0.375445522884	576	14	6.90	122
baton	0.375903708541	276	10	3.20	93
shield	0.378250109332	2224	10	2.85	90
bottle	0.37915969394	6002	15	8.35	186
closet	0.379207930892	260	13	8.70	163
curtains	0.379910297154	3412	13	8.40	152
chapel	0.383142915274	2443	11	5.25	98
hoe	0.383374967376	115	15	3.70	176
house	0.391330832619	61006	16	8.45	133
grenade	0.391569534328	373	15	2.20	180
peg	0.395283232548	990	7	5.30	68
sandals	0.396108854607	323	17	7.45	160
bed	0.396513044263	18117	17	8.95	166
vine	0.397021921964	913	8	5.00	89
jet	0.397103175965	1830	15	4.50	176
plate	0.397299964461	6443	20	8.90	159
pan	0.39915605902	2211	12	6.70	120
corkscrew	0.399250148013	104	10	5.60	88
pine	0.400254592373	1231	11	4.85	134
trailer	0.400406130253	653	12	6.15	100
catapult	0.401015377801	189	9	2.15	86
caterpillar	0.401077669662	375	14	5.35	151
skillet	0.401544164442	15	11	4.95	129
walnut	0.402678424972	461	11	5.75	129
church	0.404256404465	24058	15	6.10	131
brush	0.404552533183	2448	12	8.70	100
chair	0.406004797087	10023	16	8.70	182
pony	0.406947338528	1114	18	4.70	156
drapes	0.408413881505	125	18	7.70	197
grater	0.408497479982	30	12	5.05	125
hook	0.408885521599	1912	9	6.65	112
cape	0.408976858128	1045	12	4.05	95
pillow	0.409328037251	1133	13	8.80	188
tap	0.409667417554	2549	9	7.85	95
skateboard	0.409840825414	80	10	4.85	115
spade	0.410853120841	481	7	4.95	66
broom	0.412675079927	391	13	7.65	153
mouse	0.415970266079	2912	19	4.95	175
parka	0.416839176443	45	10	4.60	76
ant	0.42010506387	1012	12	7.55	121
boat	0.421694976881	7391	10	6.55	113
tray	0.422288418898	1826	12	6.75	112
oak	0.422933680191	1950	11	6.10	126
rattlesnake	0.42461558665	56	19	2.70	172
canoe	0.427509773884	531	18	6.10	174
rice	0.428215751211	1710	10	7.50	114
tripod	0.428504251211	172	6	3.45	77
garage	0.428769053372	2387	9	7.85	113
cart	0.428876825458	1272	11	5.70	136
drain	0.430100526851	1620	9	7.70	107
cloak	0.430720507248	873	8	3.30	63
pumpkin	0.431490328232	176	12	6.95	181
cedar	0.433210721287	236	15	5.50	116
ladle	0.433303823538	84	11	4.95	114
bucket	0.434647763458	1404	7	6.55	93
bullet	0.435568151939	1270	14	3.65	157
blender	0.43592839082	91	15	5.80	153
ostrich	0.437500080491	168	19	2.55	254
wheelbarrow	0.437992706676	251	14	5.40	168
harpoon	0.443726593414	47	11	2.10	93
drill	0.445437653065	1373	11	6.00	134
bookcase	0.450050640173	233	12	8.15	136
bench	0.450617120115	2605	11	7.60	132
taxi	0.454282261529	2195	10	7.35	125
faucet	0.455174735251	11	18	8.10	193
spider	0.457337749274	1036	16	7.25	178
yacht	0.457339801142	1426	14	3.85	144
elevator	0.458003661073	279	14	8.10	148
trolley	0.458379179081	730	8	3.70	59
bowl	0.459880626989	3165	14	8.50	123
bread	0.462046562919	3813	16	8.55	167
train	0.462854505719	10384	15	6.05	133
cellar	0.46343074306	945	10	4.70	129
wagon	0.463550670765	937	14	5.60	192
guppy	0.464157328869	124	6	2.00	64
buggy	0.465437931947	231	12	4.00	118
bolts	0.466483691104	1323	13	4.90	115
fork	0.468898899607	1055	14	8.70	162
snail	0.469902756587	543	9	5.40	118
tongs	0.470248853327	180	8	6.15	80
fridge	0.472438462628	1052	19	8.80	224
bomb	0.472856974686	4261	15	3.05	146
tractor	0.473173342891	730	13	6.00	146
slingshot	0.473320565453	11	15	4.15	173
tomahawk	0.473332571148	44	14	2.10	130
shelves	0.473867341711	2617	11	7.90	127
ship	0.474608911338	7505	13	4.90	149
garlic	0.475371383823	802	21	7.85	205
sailboat	0.47638625226	21	14	4.95	146
sofa	0.477300295007	1168	18	8.40	181
oven	0.477730086138	1565	14	7.50	145
basement	0.485206101798	872	16	7.60	155
bazooka	0.485323817507	23	11	2.05	94
cake	0.486585780192	3791	17	7.40	157
hatchet	0.487696144553	75	8	2.60	72
couch	0.487747335719	574	20	8.05	196
eel	0.488953895699	355	11	2.55	125
truck	0.489009392763	1867	13	7.65	146
microwave	0.489850005557	707	16	7.95	132
sledgehammer	0.490385984258	67	11	3.80	134
penguin	0.490444590763	600	18	2.80	236
van	0.490630850138	4655	15	8.00	145
scissors	0.490631105388	442	10	7.55	119
calf	0.491499554159	1083	14	4.35	147
goose	0.492064956861	889	15	4.90	168
mixer	0.495897142742	284	9	5.90	96
razor	0.499086153155	483	8	7.85	119
rake	0.501712003412	353	15	5.80	148
lamb	0.503115907765	2238	16	4.50	144
cabinet	0.503262342737	6902	10	8.35	114
building	0.503302277171	25691	15	8.35	118
stove	0.506389455053	782	13	8.35	162
frog	0.507293172702	960	16	5.45	172
coat	0.507699992842	4403	19	8.35	139
screws	0.508514744147	1228	19	6.55	180
crossbow	0.508991778152	113	8	3.35	98
bayonet	0.511203502703	161	7	1.75	41
goat	0.511864979645	1201	20	4.05	216
peacock	0.513497951941	578	16	3.85	164
gloves	0.516977387691	1405	14	8.40	141
motorcycle	0.518589822445	367	16	4.90	170
horse	0.52364362544	12660	19	6.30	201
nylons	0.525110558634	734	18	6.20	136
eagle	0.526407161707	1793	17	3.60	191
cupboard	0.526429251154	1943	10	8.00	151
duck	0.528381828253	2094	20	5.20	220
sink	0.530333050817	2190	17	8.50	202
minnow	0.531784891788	107	13	3.55	142
dove	0.531793545446	458	10	3.70	148
grasshopper	0.532700569903	104	13	4.95	159
shovel	0.536281157572	280	15	6.45	162
kettle	0.536832805672	989	17	7.80	175
cockroach	0.53754978972	147	14	3.60	90
tricycle	0.53861574914	57	17	6.20	206
gorilla	0.538836781731	209	16	2.65	170
perch	0.53908936598	302	15	4.00	161
shoes	0.539490704158	4822	19	8.90	169
goldfish	0.540386622962	365	14	6.40	163
bike	0.54207476958	2267	20	7.70	198
iguana	0.544802090739	44	17	3.15	174
tie	0.544857168945	4506	14	6.90	158
car	0.545392709348	35374	16	8.60	176
cannon	0.548172891024	785	17	2.95	183
biscuit	0.549556668473	1623	11	7.40	87
gown	0.550366339724	1031	12	6.15	103
pie	0.551309461733	1610	13	7.35	131
flamingo	0.554789212315	138	11	2.70	116
cod	0.555069046778	385	9	3.60	82
lemon	0.558220564393	1351	17	7.15	191
swan	0.558547367897	1431	16	4.20	193
spear	0.560482414401	587	15	3.10	157
moth	0.561150365084	540	8	5.65	94
strainer	0.563104928397	40	13	6.70	115
dog	0.564199988291	12536	18	8.15	176
spatula	0.565202282338	46	12	7.00	131
beetle	0.565289013176	556	13	4.20	113
jeans	0.565357021573	1283	14	8.65	118
olive	0.567553095315	1174	17	5.70	180
orange	0.567698564946	3081	16	8.20	190
skunk	0.5680737702	57	12	5.50	179
clamp	0.568616265196	378	10	4.10	100
bra	0.56935764252	493	20	7.45	198
camel	0.570052018391	599	15	2.40	155
bus	0.570162037844	6932	17	8.35	179
missile	0.571267212759	1902	17	2.60	133
cranberry	0.57426513525	121	14	4.05	157
cantaloupe	0.574669278112	4	14	6.30	169
cherry	0.574678631896	1096	12	6.90	184
dishwasher	0.575116105312	254	13	7.30	147
leotards	0.577050097462	83	12	6.05	103
dagger	0.577918594319	433	14	3.00	150
salamander	0.579295513606	79	13	2.45	93
shotgun	0.579849187455	487	10	3.00	105
zebra	0.579860878294	276	16	2.60	207
bull	0.580830696077	2173	12	3.60	133
raisin	0.580832373056	173	14	6.55	172
prune	0.581598744834	205	18	5.15	154
toaster	0.582406638362	97	14	7.80	194
leopard	0.582651560488	335	9	3.35	85
crowbar	0.585393414585	61	12	4.00	113
salmon	0.586694451056	1435	10	4.75	127
cheese	0.58765899338	2984	19	8.25	159
nightgown	0.587805999887	88	11	6.20	109
tuna	0.588448929435	357	14	5.65	136
mittens	0.589354671037	33	15	6.45	162
emu	0.59084520848	293	12	3.10	102
mackerel	0.592351682083	151	9	3.85	89
ox	0.594256372366	336	11	2.30	123
drum	0.59442777528	1650	13	5.20	123
pigeon	0.596370911483	884	14	5.80	161
knife	0.596437925676	3364	17	8.00	177
boots	0.597281344292	4731	21	8.10	180
housefly	0.59868341136	6	15	6.85	165
bear	0.599110677765	7158	19	4.55	195
sardine	0.599272476541	198	11	3.15	147
alligator	0.599595876135	114	16	3.75	168
scooter	0.600234758396	111	13	2.60	118
crow	0.600398610832	533	13	5.00	131
gun	0.600721277952	5505	16	3.50	162
toad	0.601137896806	468	23	4.65	196
scarf	0.601243821546	749	12	7.50	121
nightingale	0.601831409869	245	6	1.80	82
shrimp	0.602927254757	409	13	5.80	120
catfish	0.605084234394	232	10	3.35	120
hornet	0.605225620795	96	12	5.30	129
seagull	0.605447401112	189	15	6.70	191
pineapple	0.606547464979	330	17	6.40	172
carrot	0.606809616659	872	18	7.60	203
mink	0.607379926554	273	15	2.35	140
pistol	0.608048693293	951	19	3.00	210
canary	0.608920282135	372	15	3.65	218
vest	0.609645534042	389	10	7.00	97
skirt	0.610714026243	2136	14	7.75	152
chipmunk	0.610813396563	26	14	6.00	128
coconut	0.610947601437	373	21	5.35	227
sword	0.612025703808	1887	16	2.95	144
owl	0.612120298124	1648	13	4.10	164
pajamas	0.614136860446	3	11	8.50	126
lime	0.614410287673	706	13	5.35	135
cow	0.616740006162	2611	22	5.40	230
gopher	0.616922378118	13	8	2.60	96
seaweed	0.617135883403	234	10	4.30	116
corn	0.617249726831	1224	13	7.85	137
rifle	0.617796341422	1068	18	3.70	191
tortoise	0.618339638254	285	14	2.40	152
harmonica	0.619718264777	49	6	3.65	80
slippers	0.622486999536	502	13	6.75	132
pliers	0.623386102287	72	12	4.90	109
chisel	0.624010625376	233	10	3.85	102
clam	0.624273901059	132	8	4.20	102
honeydew	0.624631789799	27	14	4.25	150
raven	0.625857277614	308	13	3.20	168
crocodile	0.626142624466	389	17	2.65	160
lobster	0.626333511239	334	17	5.85	169
octopus	0.627545212553	183	13	2.10	104
hamster	0.628398759691	159	14	6.10	167
zucchini	0.629306296347	1	15	5.10	135
machete	0.630971793414	63	8	2.00	65
wrench	0.631808150125	213	14	4.70	148
hammer	0.632540151023	1354	16	6.30	205
robe	0.63401039186	758	16	7.40	131
donkey	0.635155389145	731	14	4.45	156
stork	0.635567088688	129	14	2.50	215
hawk	0.636691664204	572	13	3.50	173
partridge	0.636874234189	249	10	2.55	134
wasp	0.637885276855	617	16	5.20	161
mandarin	0.637888917249	329	15	3.70	134
socks	0.638072914266	1231	15	8.90	153
groundhog	0.638210333342	5	14	3.85	133
screwdriver	0.638747518863	272	20	6.35	203
parakeet	0.639701190555	40	16	2.95	189
fawn	0.640658712279	145	26	3.80	216
parsley	0.643326378521	383	10	5.00	116
dolphin	0.643415805187	1614	23	3.85	184
pheasant	0.644192022691	326	9	3.15	104
porcupine	0.644461015273	72	10	3.20	105
peas	0.644503864979	629	12	6.95	156
dress	0.644732431811	5907	13	7.85	123
hare	0.647430208004	674	18	3.25	184
cat	0.647966313596	5540	20	7.65	191
blueberry	0.650290622274	19	14	6.05	170
spinach	0.651210869149	199	11	5.00	138
tangerine	0.652278428943	78	16	7.10	187
robin	0.653514212578	2467	17	5.95	231
turtle	0.655013532572	447	18	5.70	186
radish	0.655095449361	213	16	4.95	182
sheep	0.655884196115	3044	21	4.25	224
fox	0.656098931236	2741	17	4.70	166
oriole	0.656395298287	16	9	2.40	95
axe	0.657155124212	1226	16	4.60	214
camisole	0.65796085256	31	18	4.20	140
asparagus	0.658234944923	116	9	5.85	110
budgie	0.658459984628	143	17	4.40	188
trout	0.659354442572	725	14	5.05	184
banana	0.66008510647	991	15	8.10	164
plum	0.660630624815	425	15	6.20	198
buffalo	0.661063305497	366	15	3.50	154
nectarine	0.663101805177	36	17	6.20	182
apple	0.663377851299	3512	19	8.30	202
pelican	0.663637874438	145	15	2.85	189
squid	0.66439609308	174	11	3.45	99
bluejay	0.665224070177	3	12	5.10	149
shirt	0.666783297857	3623	18	8.80	191
whale	0.667626409916	1339	12	3.50	146
crab	0.667787466109	565	16	4.20	159
swimsuit	0.668331929444	137	19	7.50	176
tiger	0.668433219498	1324	24	3.80	232
beaver	0.669462934011	220	15	4.05	199
beans	0.669466829725	1857	15	7.00	128
revolver	0.670419026226	262	15	3.05	148
falcon	0.671080737801	408	14	2.85	171
mushroom	0.672378553476	901	16	7.20	155
buzzard	0.673175446253	236	14	2.20	141
cucumber	0.673591380279	252	16	7.10	186
pickle	0.674317544358	284	18	7.35	182
pig	0.675256361022	2508	22	5.15	211
celery	0.675378450618	196	15	7.55	170
guitar	0.677216754993	3423	11	6.15	130
panther	0.677739284764	184	13	2.60	135
squirrel	0.680926940868	396	18	7.85	200
piano	0.681404689698	2112	13	5.95	155
rooster	0.68204408802	33	18	3.75	196
rabbit	0.683404742963	2486	14	6.05	116
platypus	0.683808595807	30	8	1.95	78
shawl	0.684369685069	325	10	3.30	97
onions	0.684865017515	1236	16	7.40	164
cauliflower	0.68624102126	130	14	6.80	144
potato	0.686356650363	2527	19	8.15	168
vulture	0.687459045361	291	18	2.40	190
pants	0.68800409923	573	21	8.95	198
moose	0.688731367837	98	15	3.35	181
elephant	0.689895442361	1508	17	3.50	224
tomato	0.691362653066	1490	13	7.75	180
woodpecker	0.691766336968	146	15	4.10	169
giraffe	0.691947064502	106	14	4.05	185
bison	0.692670393571	52	10	2.75	100
broccoli	0.693522800216	134	12	7.55	147
cheetah	0.693798263756	152	13	3.40	152
banjo	0.695347969967	49	12	3.15	137
sweater	0.695515278962	774	11	8.45	113
cello	0.698765752433	242	9	2.75	113
cabbage	0.699182219609	500	16	5.60	165
strawberry	0.700404146482	661	17	8.45	175
grapefruit	0.701743419813	135	22	6.20	240
peach	0.701934912762	776	15	7.05	172
lion	0.701978738999	2155	20	4.05	192
coyote	0.702675390546	52	17	2.85	172
finch	0.702715591731	354	10	3.25	121
deer	0.706251777271	930	20	5.40	186
starling	0.710871391203	183	12	2.75	116
hyena	0.714917558978	73	14	1.75	110
jacket	0.716260911918	3575	15	8.60	134
flute	0.717763223858	509	13	4.60	132
rhubarb	0.717926130643	119	11	3.95	128
raspberry	0.718154113774	280	11	6.15	114
bagpipe	0.720656928374	122	9	3.20	122
cougar	0.721644858489	14	23	2.20	183
chimp	0.723059521859	176	17	3.25	136
walrus	0.724852599289	65	14	2.15	121
raccoon	0.725487347486	13	12	5.10	139
grape	0.727439974888	814	18	7.10	235
trousers	0.728137624934	545	19	6.80	178
trumpet	0.730114509522	531	13	4.20	128
blackbird	0.730248061303	300	12	3.75	173
caribou	0.731969234553	57	18	3.60	179
rat	0.732133474374	2467	22	3.65	217
beets	0.734573841587	133	15	5.50	141
harp	0.736195655392	310	8	3.05	103
turnip	0.736449979747	174	9	4.75	99
otter	0.736680480459	348	9	2.70	113
elk	0.73762954857	40	16	2.65	131
yam	0.738588084798	51	7	3.30	81
eggplant	0.739586380508	6	9	3.75	103
chickadee	0.742739514536	4	15	3.80	159
tuba	0.742765052274	65	13	3.30	137
blouse	0.743505632286	644	15	7.25	159
sparrow	0.746840815888	294	13	4.35	179
lettuce	0.747906763052	448	18	7.95	216
pear	0.759914841823	723	13	7.20	153
avocado	0.772174196749	130	10	3.70	92
violin	0.77431246488	702	11	3.80	150
harpsichord	0.781701303423	155	6	2.40	70
accordion	0.794326104936	2	9	2.90	99
clarinet	0.80385492493	294	13	3.60	134
saxophone	0.820366752223	102	14	4.85	132
trombone	0.854978479524	142	13	3.35	133
